#,区分別シェアの文言と料金収入の算定を精査した結果。v3で確定したモデルに差し替えている
#,v2までは2か月の算定式のみで照合していたため、毎月検針の記録が「特殊算定」に混入していた
#,集計ブックの水量欄と算定式を3通り（隔月／毎月／水量欄＝月あたり・2か月請求）照合して判別する
#,指摘・発見,v2までの扱い,v3（確定）,影響
1,収入シェアと水量シェアの分母が不一致,収入シェア5.3%＝調定額全体に対する比、水量シェア37.9%＝従量課金対象水量に対する比,同一分母（従量部分）で対比：従量収入10.0% vs 従量水量34.9%,文言の誤り。乖離の倍率が約7倍→約3.5倍に是正
2,毎月検針の記録が特殊算定に混入,2か月の算定式に一致しない記録をすべて特殊算定に分類（公共66件・漁集5件）,水量欄と照合して毎月検針と判定し通常算定に算入,51㎥〜の従量収入比が12.9%→19.5%、水量比が8.0%→12.7%に増加
3,水量欄＝月あたり・2か月請求の行,特殊算定に混入（公共12件）,第3の照合パターンとして判別,51㎥〜に正しく算入
4,集計範囲,"主検針6か月（9,070件・42,987,132円）","年間全件12か月（9,220件・44,578,708円）","平年度増収額 4,269,216円→4,426,499円"
5,日割行の評価,"1件あたり2,216円（上限額）",明細実測の平均903円,"公共の日割額 1,088,656円→443,373円"
6,表3と表8の定義が不統一,表3は従量部分のみの静的計算（特殊算定への波及を含まない）、表8は波及を含む,表3に「うち従量部分のみ」を併記し両者を明示,"表3 8,493,858円→9,012,766円（うち従量部分のみ8,518,401円）"
7,特殊算定の改定率の求め方,一発計算,不動点反復で平均増収率と一致させる,中心案で約2千円の差
,,,,
【確定値（2事業合計・令和7年度12か月全件・税込）】,,,,
,調定額,"44,578,708円","成分合計44,582,609円との差3,901円は端数切捨ての累積",
,従量収入,"23,071,577円",,
,従量課金対象水量,"161,984㎥",基本水量（1か月5㎥）を超える水量,
,6〜10㎥,"収入2,300,568円 / 水量56,525㎥",従量収入比10.0% / 水量比34.9% / 調定額比5.2%,
,11〜50㎥,"収入16,262,110円 / 水量84,964㎥",従量収入比70.5% / 水量比52.5% / 調定額比36.5%,
,51㎥〜,"収入4,508,900円 / 水量20,495㎥",従量収入比19.5% / 水量比12.7% / 調定額比10.1%,
,基本使用料,"19,065,816円",調定額比42.8%,
,日割・異動等,"2,445,216円（587件）",調定額比5.5%,
,中心案の平年度増収額,"4,426,499円（税込）／4,024,090円（税抜）",+9.93%,
