#,区分別シェアの文言と料金収入の算定を精査した結果。v3で確定したモデルに差し替えている
#,v2までは2か月の算定式のみで照合していたため、毎月検針の記録が「特殊算定」に混入していた
#,集計ブックの水量欄と算定式を3通り（隔月／毎月／水量欄＝月あたり・2か月請求）照合して判別する
#,指摘・発見,v2までの扱い,v3（確定）,影響
1,収入シェアと水量シェアの分母が不一致,収入シェア5.3%＝調定額全体に対する比、水量シェア37.9%＝従量課金対象水量に対する比,同一分母（従量部分）で対比：従量収入10.0% vs 従量水量34.9%,文言の誤り。乖離の倍率が約7倍→約3.5倍に是正
2,毎月検針の記録が特殊算定に混入,2か月の算定式に一致しない記録をすべて特殊算定に分類（公共66件・漁集5件）,水量欄と照合して毎月検針と判定し通常算定に算入,51㎥〜の従量収入比が12.9%→19.5%、水量比が8.0%→12.7%に増加
3,水量欄＝月あたり・2か月請求の行,特殊算定に混入（公共12件）,第3の照合パターンとして判別,51㎥〜に正しく算入
4,集計範囲,"主検針6か月（9,070件・42,987,132円）","年間全件12か月（9,220件・44,567,510円）","平年度増収額 4,269,216円→4,478,920円"
5,日割行の評価（公共）,"1件あたり2,216円（上限額）",令和8年3月の明細実額（71件・64,144円）から求めた平均903.4円による推計,"公共の日割額 1,088,656円→443,373円（491件×903.4円の推計額）"
5-2,日割の計上漏れ（漁集）,"集計ブックに日割行がなく、11件が基本使用料2,217円に切り上げて基本料金帯に計上されていた","明細実額13,189円（平均1,199円）で日割として計上","漁集の調定額 7,419,516円→7,408,318円（11,198円の過大を補正）"
6,表3と表8の定義が不統一,表3は従量部分のみの静的計算（特殊算定への波及を含まない）、表8は波及を含む,表3に「うち従量部分のみ」を併記し両者を明示,"表3 8,493,858円→8,918,973円（うち従量部分のみ8,518,401円）"
7,特殊算定の改定率の求め方,一発計算,不動点反復で平均増収率と一致させる,中心案で約2千円の差
8,異動等の件数,"516件（日割502件を含む集計上の重複）","96件（基本水量未満の日割502件と分離）","件数のみの訂正。金額2,001,629円に変更なし"
9,従量収入の端数,"成分を未丸めのまま合計（23,071,577円）","記録ごとの切捨て差を成分へ比例配分（23,070,442円）","区分別収入の合計＝調定額 44,567,510円 に一致"
,,,,
【確定値（2事業合計・令和7年度12か月全件・税込）】,,,,
,調定額,"44,567,510円（補正推計額）","区分別収入の合計と差0円。記録ごとの切捨て差を各成分へ比例配分している",
,従量収入,"23,070,442円",,
,従量課金対象水量,"161,984㎥",基本水量（1か月5㎥）を超える水量,
,6〜10㎥,"収入2,300,335円 / 水量56,525㎥",従量収入比10.0% / 水量比34.9% / 調定額比5.2%,
,11〜50㎥,"収入16,261,232円 / 水量84,964㎥",従量収入比70.5% / 水量比52.5% / 調定額比36.5%,
,51㎥〜,"収入4,508,875円 / 水量20,495㎥",従量収入比19.5% / 水量比12.7% / 調定額比10.1%,
,基本使用料,"19,038,663円",調定額比42.7%,
,日割・異動等,"456,776円（日割502件）＋2,001,629円（異動等96件・1件平均約2.1万円）",調定額比5.5%,
,中心案の平年度増収額,"4,478,920円（税込）／4,071,745円（税抜）",+10.05%,
